%IncMSE,IncNodePurity,Var.Names,MSE_rank,Purity_rank,site,property
-0.7778121119925734,3.0821842019373076,relative_slope_position,5,3,Agriculture,La
-0.05415279171686772,1.9927251134827275,channel_network_distance,4,4,Agriculture,La
17.544795454227305,5.343749154155352,elevation,1,1,Agriculture,La
-4.787345659756331,6.2623040485161905,plan_curvature,7,6,Forest,La
-2.6154767813805657,6.636756589565915,profile_curvature,5,5,Forest,La
-3.544957644147722,7.0147354588125514,saga_wetness_index,6,4,Forest,La
-0.7872743085174847,7.532887713183007,catchment_area,3,3,Forest,La
1.026642397208174,8.33267609225635,relative_slope_position,2,1,Forest,La
2.6015542394735878,7.74613328533374,channel_network_distance,1,2,Forest,La
-1.4791598499097127,6.224302601427925,elevation,4,7,Forest,La
0.46031724919287503,4.783045179585235,plan_curvature,4,7,Agriculture,Li
-0.4660664198585949,5.396287494674008,profile_curvature,7,6,Agriculture,Li
-0.15024618962568334,6.272126742747621,saga_wetness_index,5,4,Agriculture,Li
-0.31682578835422404,6.554113862915929,catchment_area,6,2,Agriculture,Li
5.288242020183873,9.230230117127691,relative_slope_position,1,1,Agriculture,Li
3.520976133563104,6.390023161071414,channel_network_distance,3,3,Agriculture,Li
4.518583910498511,6.051978484827765,elevation,2,5,Agriculture,Li
1.0560755024553417,1.93421062318896,plan_curvature,4,6,Forest,Li
4.099967118831655,2.081758689757008,profile_curvature,1,4,Forest,Li
2.398457425188254,2.4487446207704378,saga_wetness_index,3,1,Forest,Li
-1.831377226661077,1.6212072435485334,catchment_area,7,7,Forest,Li
-0.4090313718503907,2.0683944759028945,relative_slope_position,5,5,Forest,Li
-1.3295575475965211,2.179499447690949,channel_network_distance,6,2,Forest,Li
3.7815302636815993,2.1322644080434543,elevation,2,3,Forest,Li
2.1226857119204965,0.010490545318661,plan_curvature,6,6,Agriculture,Nb
5.5108137150096255,0.01017506066305686,profile_curvature,3,7,Agriculture,Nb
8.623559279051015,0.01314287093503681,saga_wetness_index,1,2,Agriculture,Nb
3.71253983750189,0.01419168548748466,catchment_area,4,1,Agriculture,Nb
-1.1406652974873692,0.01234687079042393,relative_slope_position,7,3,Agriculture,Nb
2.170977213912227,0.01063185618659215,channel_network_distance,5,5,Agriculture,Nb
6.16657984668195,0.0108546468899826,elevation,2,4,Agriculture,Nb
1.966210373916575,9.594404020232147,plan_curvature,5,5,Agriculture,Ni
-2.5122415118368577,6.203672263327327,profile_curvature,7,6,Agriculture,Ni
18.828815762248603,67.31184873035583,saga_wetness_index,1,1,Agriculture,Ni
4.184966668367634,11.070100102821645,catchment_area,4,3,Agriculture,Ni
0.01152520516394312,5.664846578615502,relative_slope_position,6,7,Agriculture,Ni
5.266595513858814,10.735207635110587,channel_network_distance,3,4,Agriculture,Ni
15.129506660999732,52.47911976291467,elevation,2,2,Agriculture,Ni
-4.795970083718424,19.20670510911719,plan_curvature,7,3,Forest,Ni
-2.6998102557755015,14.774227182583294,profile_curvature,5,7,Forest,Ni
-2.4287189948332775,18.039595346086397,saga_wetness_index,3,4,Forest,Ni
-3.699467332242667,16.40638733826745,catchment_area,6,6,Forest,Ni
0.6249288205463376,43.12297582839097,relative_slope_position,2,1,Forest,Ni
-2.548617637196428,17.967148839445816,channel_network_distance,4,5,Forest,Ni
